encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
morton-pca3-b20,4,4,0,0.0455,0.0059,0.00222,0.00187,0.00465,0.01038,3.21
morton-pca3-b20,4,8,0,0.0765,0.0083,0.00422,0.00363,0.00952,0.01487,5.21
morton-pca3-b20,4,16,0,0.125,0.0113,0.00783,0.00731,0.01663,0.021,8.3
morton-pca3-b20,4,32,0,0.205,0.0152,0.0148,0.01388,0.02875,0.0335,14.44
morton-pca3-b20,4,64,0,0.301,0.017,0.02668,0.0265,0.04675,0.05362,22.96
morton-pca3-b20,4,40,1,0.0815,0.0069,0.005,0.005,0.005,0.005,8.03
morton-pca3-b20,4,80,1,0.1495,0.0105,0.01,0.01,0.01,0.01,13.38
morton-pca3-b20,4,160,1,0.2505,0.0148,0.02,0.02,0.02,0.02,22.51
morton-pca3-b20,4,400,1,0.4445,0.0185,0.04857,0.05,0.05,0.05,43.38
hilbert-pca4-b15,1,1,0,0.449,0.0197,0.06674,0.06588,0.091,0.091,1.0
hilbert-pca4-b15,1,2,0,0.6615,0.0201,0.12918,0.13287,0.16875,0.16875,1.42
hilbert-pca4-b15,1,4,0,0.8255,0.0147,0.24961,0.24713,0.28188,0.29925,2.25
hilbert-pca4-b15,1,8,0,0.9485,0.0071,0.49508,0.49325,0.52971,0.54763,3.1
hilbert-pca4-b15,1,16,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca4-b15,1,32,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca4-b15,1,64,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hilbert-pca4-b15,1,40,1,0.036,0.0051,0.005,0.005,0.005,0.005,1.0
hilbert-pca4-b15,1,80,1,0.0655,0.0066,0.01,0.01,0.01,0.01,1.0
hilbert-pca4-b15,1,160,1,0.1605,0.012,0.02,0.02,0.02,0.02,1.0
hilbert-pca4-b15,1,400,1,0.358,0.018,0.05,0.05,0.05,0.05,1.07
hilbert-pca4-b15,2,1,0,0.126,0.0108,0.00678,0.00562,0.01556,0.01925,1.0
hilbert-pca4-b15,2,2,0,0.2275,0.0164,0.01339,0.0115,0.02518,0.036,1.56
hilbert-pca4-b15,2,4,0,0.3325,0.0186,0.02473,0.02406,0.04612,0.05688,2.65
hilbert-pca4-b15,2,8,0,0.469,0.0207,0.04454,0.0445,0.06953,0.0825,4.44
hilbert-pca4-b15,2,16,0,0.6005,0.0195,0.07722,0.07737,0.10859,0.12587,6.5
hilbert-pca4-b15,2,32,0,0.739,0.0179,0.13872,0.13625,0.17851,0.19975,9.46
hilbert-pca4-b15,2,64,0,0.88,0.0125,0.25318,0.25006,0.30513,0.3275,17.0
hilbert-pca4-b15,2,40,1,0.0905,0.008,0.005,0.005,0.005,0.005,1.35
hilbert-pca4-b15,2,80,1,0.167,0.012,0.01,0.01,0.01,0.01,1.84
hilbert-pca4-b15,2,160,1,0.285,0.0156,0.02,0.02,0.02,0.02,2.79
